date,artist,front_person_age,song,discogs_genre,length_sec,simplified_key,lyrical_topic,explicit,discogs_genre_cleaned,year,decade,lyrical_topic_split
1971-12-04 00:00:00+00:00,Sly & the Family Stone,28.0,Family Affair,Funk/Soul,185,F,Family;Growing Up;Home,0,Funk/Soul,1971,1970,"['Family', 'Growing Up', 'Home']"
1971-12-25 00:00:00+00:00,Melanie,24.0,Brand New Key,"Rock;Folk, World, & Country",144,Db,Longing for Love;Lust/Sex,0,Rock,1971,1970,"['Longing for Love', 'Lust/Sex']"
1972-01-15 00:00:00+00:00,Don McLean,26.0,American Pie,Rock,515,G,Lost Innocence,1,Rock,1972,1970,['Lost Innocence']
1972-02-12 00:00:00+00:00,Al Green,25.0,Let's Stay Together,Funk/Soul,199,F,Love,0,Funk/Soul,1972,1970,['Love']
1972-02-19 00:00:00+00:00,Harry Nilsson,30.0,Without You,Rock;Pop,201,E,Lost Love,0,Rock,1972,1970,['Lost Love']
1972-03-18 00:00:00+00:00,Neil Young,26.0,Heart of Gold,Rock,187,Em,Time;Longing for Love;Lost Innocence,0,Rock,1972,1970,"['Time', 'Longing for Love', 'Lost Innocence']"
1972-03-25 00:00:00+00:00,America,20.0,A Horse with No Name,Rock,272,Em,Enlightenment;Dreaming,0,Rock,1972,1970,"['Enlightenment', 'Dreaming']"
1972-04-15 00:00:00+00:00,Roberta Flack,35.0,The First Time Ever I Saw Your Face,Funk/Soul,255,C,Love,0,Funk/Soul,1972,1970,['Love']
1972-05-27 00:00:00+00:00,The Chi-Lites,31.0,Oh Girl,Funk/Soul,216,Bb,Lost Love,0,Funk/Soul,1972,1970,['Lost Love']
1972-06-03 00:00:00+00:00,The Staple Singers,32.0,I'll Take You There,Funk/Soul,196,C,Utopia/Perfect Places,0,Funk/Soul,1972,1970,['Utopia/Perfect Places']
1972-06-10 00:00:00+00:00,Sammy Davis Jr.,46.0,The Candy Man,Jazz;Rock,192,C,Jobs;Candy,0,Jazz,1972,1970,"['Jobs', 'Candy']"
1972-07-01 00:00:00+00:00,Neil Diamond,31.0,Song Sung Blue,Pop,194,C,Sadness;Playing Music,0,Pop,1972,1970,"['Sadness', 'Playing Music']"
