date,artist,front_person_age,song,length_sec,key,lyrical_topic,explicit,genre,year,decade,bpm
1975-06-07 00:00:00+00:00,John Denver,31,Thank God I'm a Country Boy,167,A,Appreciation;Growing Up;Family,0,Folk,1975,1970,101.0
1975-06-14 00:00:00+00:00,America,23,Sister Golden Hair,200,E,Love;Restlessness,1,Rock,1975,1970,135.0
1975-06-21 00:00:00+00:00,Captain & Tennille,33,Love Will Keep Us Together,205,B,Love,0,Pop,1975,1970,130.0
1975-07-19 00:00:00+00:00,Paul McCartney & Wings,33,Listen to What the Man Said,235,G,Love,0,Rock,1975,1970,113.0
1975-08-02 00:00:00+00:00,Eagles,28,One of these Nights,214,G,Hope;Love;Lust/Sex,0,Rock,1975,1970,110.0
1975-08-09 00:00:00+00:00,Bee Gees,27,Jive Talkin',213,C,Bad Relationships;Love,0,Pop,1975,1970,106.0
1975-08-23 00:00:00+00:00,"Hamilton, Joe Frank & Reynolds",29,Fallin' in Love,194,Gbm,Lust/Sex;Love,0,Funk/Soul,1975,1970,87.0
1975-08-30 00:00:00+00:00,KC & the Sunshine Band,24,Get Down Tonight,192,Bb,Lust/Sex,0,Electronic,1975,1970,113.0
1975-09-06 00:00:00+00:00,Glen Campbell,39,Rhinestone Cowboy,194,C,Dreaming,0,Pop,1975,1970,115.0
1975-09-20 00:00:00+00:00,David Bowie,28,Fame,214,Bbm,Fame,0,Rock,1975,1970,95.0
1975-09-27 00:00:00+00:00,John Denver,31,I'm Sorry,212,G,Lost Love,0,Rock,1975,1970,128.0
1975-10-11 00:00:00+00:00,Neil Sedaka,36,Bad Blood,189,A,Lost Love;Bad Relationships,1,Rock,1975,1970,149.0
1975-11-01 00:00:00+00:00,Elton John,28,Island Girl,225,Bb,Prostitution,0,Rock,1975,1970,140.0
1975-11-22 00:00:00+00:00,KC & the Sunshine Band,24,That's the Way (I Like It),185,Fm,Lust/Sex,0,Funk/Soul,1975,1970,109.0
1975-12-27 00:00:00+00:00,The Staple Singers,36,Let's Do It Again,294,E,Lust/Sex,1,Funk/Soul,1975,1970,80.0
1976-01-02 00:00:00+00:00,Bay City Rollers,20,Saturday Night,174,G,Dancing;Escape;Love,0,Rock,1976,1970,137.0
1976-01-10 00:00:00+00:00,C.W. McCall,47,Convoy,231,F,Anger;Driving,0,Rock,1976,1970,112.0
1976-01-17 00:00:00+00:00,Barry Manilow,32,I Write the Songs,235,F,God,0,Pop,1976,1970,143.0
1976-01-24 00:00:00+00:00,Diana Ross,31,Theme from Mahogany (Do You Know Where You're Going To),204,Multiple Keys,Life;Hope,0,Funk/Soul,1976,1970,140.0
1976-02-07 00:00:00+00:00,Paul Simon,34,50 Ways to Leave Your Lover,217,G,Lost Love,0,Rock,1976,1970,102.0
1976-03-06 00:00:00+00:00,The Miracles,25,Love Machine (Part 1),181,Multiple Keys,Lust/Sex,0,Funk/Soul,1976,1970,144.0
1976-03-13 00:00:00+00:00,Frankie Valli & the Four Seasons,41,"December, 1963 (Oh What a Night!)",197,Db,Lust/Sex,0,Rock,1976,1970,104.0
1976-04-03 00:00:00+00:00,Johnnie Taylor,41,Disco Lady,267,D,Dancing;Lust/Sex,0,Funk/Soul,1976,1970,104.0
1976-05-01 00:00:00+00:00,The Bellamy Brothers,27,Let Your Love Flow,199,Eb,Love,0,Rock,1976,1970,109.0
1976-05-08 00:00:00+00:00,John Sebastian,32,Welcome Back,171,D,Friendship;Home,0,Rock,1976,1970,111.0
1976-05-15 00:00:00+00:00,The Sylvers,19,Boogie Fever,201,Multiple Keys,Dancing;Love,0,Funk/Soul,1976,1970,133.0
1976-05-22 00:00:00+00:00,Paul McCartney & Wings,33,Silly Love Songs,352,C,Love,0,Rock,1976,1970,125.0
1976-05-29 00:00:00+00:00,Diana Ross,32,Love Hangover,229,Ebm,Love;Lust/Sex,0,Funk/Soul,1976,1970,112.0
1976-07-10 00:00:00+00:00,Starland Vocal Band,30,Afternoon Delight,191,F,Lust/Sex,1,Rock,1976,1970,147.0
1976-07-24 00:00:00+00:00,The Manhattans,24,Kiss and Say Goodbye,209,Bb,Forbidden Love;Infidelity;Lust/Sex;Lost Love,0,Funk/Soul,1976,1970,129.0
1976-08-07 00:00:00+00:00,Elton John & Kiki Dee,29,Don't Go Breaking My Heart,271,F,Love,0,Rock,1976,1970,131.0
1976-09-04 00:00:00+00:00,Bee Gees,30,You Should Be Dancing,256,Gm,Dancing;Lust/Sex,0,Electronic,1976,1970,123.0
1976-09-11 00:00:00+00:00,KC & the Sunshine Band,25,"(Shake, Shake, Shake) Shake Your Booty",187,Cm,Dancing,0,Electronic,1976,1970,112.0
1976-09-18 00:00:00+00:00,Wild Cherry,25,Play That Funky Music,191,Em,Dancing;Playing Music;Partying,0,Funk/Soul,1976,1970,109.0
1976-10-16 00:00:00+00:00,Rick Dees & His Cast of Idiots,26,Disco Duck,199,A,Dancing,0,Funk/Soul,1976,1970,117.0
1976-10-23 00:00:00+00:00,Chicago,32,If You Leave Me Now,235,B,Love;Lost Love,0,Rock,1976,1970,104.0
1976-11-06 00:00:00+00:00,Steve Miller Band,33,Rock 'n Me,187,E,Lust/Sex,0,Rock,1976,1970,122.0
1976-11-13 00:00:00+00:00,Rod Stewart,31,Tonight's the Night (Gonna Be Alright),213,Multiple Keys,Lust/Sex,0,Rock,1976,1970,135.0
1977-01-08 00:00:00+00:00,"Marilyn McCoo & Billy Davis, Jr.",35,You Don't Have to Be a Star (To Be in My Show),209,E,Love,0,Funk/Soul,1977,1970,100.0
1977-01-15 00:00:00+00:00,Leo Sayer,28,You Make Me Feel Like Dancing,173,Multiple Keys,Dancing;Love,0,Rock,1977,1970,96.0
1977-01-22 00:00:00+00:00,Stevie Wonder,26,I Wish,271,Ebm,Childhood;Better Times,0,Funk/Soul,1977,1970,106.0
1977-01-29 00:00:00+00:00,Rose Royce,23,Car Wash,200,D,Jobs,0,Funk/Soul,1977,1970,115.0
1977-02-05 00:00:00+00:00,Mary MacGregor,28,Torn Between Two Lovers,229,Bb,Lost Love;Forbidden Love,0,Rock,1977,1970,132.0
1977-02-19 00:00:00+00:00,Manfred Mann's Earth Band,36,Blinded by the Light,229,F,Growing Up,0,Rock,1977,1970,141.0
1977-02-26 00:00:00+00:00,Eagles,28,New Kid in Town,305,E,Lost Love,0,Rock,1977,1970,107.0
1977-03-05 00:00:00+00:00,Barbra Streisand,34,Evergreen (Love Theme From A Star is Born),185,A,Love,0,Pop,1977,1970,114.0
1977-03-26 00:00:00+00:00,Daryl Hall & John Oates,29,Rich Girl,142,F,Bad Relationships;Lost Love,1,Rock,1977,1970,170.0
1977-04-09 00:00:00+00:00,ABBA,29,Dancing Queen,230,A,Dancing;Escape;Longing for Love,0,Pop,1977,1970,101.0
1977-04-16 00:00:00+00:00,David Soul,33,Don't Give Up on Us,219,A,Love;Faithfulness,0,Rock,1977,1970,99.0
1977-04-23 00:00:00+00:00,Thelma Houston,30,Don't Leave Me This Way,218,Multiple Keys,Lust/Sex,0,Electronic,1977,1970,122.0
1977-04-30 00:00:00+00:00,Glen Campbell,41,Southern Nights,180,E,Home;Better Times,0,Rock,1977,1970,95.0
1977-05-07 00:00:00+00:00,Eagles,29,Hotel California,391,Bm,Escape;God,1,Rock,1977,1970,147.0
1977-05-14 00:00:00+00:00,Leo Sayer,28,When I Need You,253,Db,Love,0,Pop,1977,1970,110.0
1977-05-21 00:00:00+00:00,Stevie Wonder,27,Sir Duke,232,Gb,Bands;Playing Music;Appreciation;Dancing,0,Funk/Soul,1977,1970,107.0
1977-06-11 00:00:00+00:00,KC & the Sunshine Band,26,I'm Your Boogie Man,244,Fm,Lust/Sex,0,Funk/Soul,1977,1970,113.0
1977-06-18 00:00:00+00:00,Fleetwood Mac,29,Dreams,245,C,Lost Love,0,Rock,1977,1970,120.0
1977-06-25 00:00:00+00:00,Marvin Gaye,38,Got to Give it Up,255,D,Dancing;Lust/Sex,0,Funk/Soul,1977,1970,123.0
1977-07-02 00:00:00+00:00,Bill Conti,35,Gonna Fly Now (Theme from Rocky),170,Am,Positivity;Badassery,0,Rock,1977,1970,95.0
1977-07-09 00:00:00+00:00,Alan O'Day,36,Undercover Angel,200,Bb,Longing for Love;Lust/Sex,0,Funk/Soul,1977,1970,103.0
1977-07-16 00:00:00+00:00,Shaun Cassidy,18,Da Doo Ron Ron,170,C,Love,0,Rock,1977,1970,144.0
1977-07-23 00:00:00+00:00,Barry Manilow,34,Looks Like We Made It,213,C,Lost Love,0,Rock,1977,1970,140.0
1977-07-30 00:00:00+00:00,Andy Gibb,19,I Just Want to Be Your Everything,212,A,Love,0,Pop,1977,1970,97.0
1977-10-15 00:00:00+00:00,Debby Boone,21,You Light Up My Life,216,D,Love,0,Pop,1977,1970,78.0
1977-12-24 00:00:00+00:00,Bee Gees,31,How Deep is Your Love,245,Eb,Love,0,Electronic,1977,1970,105.0
1978-01-14 00:00:00+00:00,Player,29,Baby Come Back,214,Multiple Keys,Lost Love,0,Rock,1978,1970,156.0
1978-02-04 00:00:00+00:00,Bee Gees,31,Stayin' Alive,283,Fm,Badassery;Survival,0,Funk/Soul,1978,1970,104.0
1978-03-04 00:00:00+00:00,Andy Gibb,19,(Love Is) Thicker Than Water,198,Gbm,Love,0,Rock,1978,1970,97.0
1978-03-18 00:00:00+00:00,Bee Gees,31,Night Fever,212,Dbm,Lust/Sex;Dancing,0,Electronic,1978,1970,109.0
1978-05-13 00:00:00+00:00,Yvonne Elliman,26,If I Can't Have You,180,B,Longing for Love,0,Funk/Soul,1978,1970,109.0
1978-05-20 00:00:00+00:00,Paul McCartney & Wings,35,With a Little Luck,194,E,Love,1,Rock,1978,1970,112.0
1978-06-03 00:00:00+00:00,Johnny Mathis & Deniece Williams,34,"Too Much, Too Little, Too Late",180,Fm,Lost Love,0,Rock,1978,1970,78.0
1978-06-10 00:00:00+00:00,John Travolta & Olivia Newton-John,26,You're the One That I Want,169,C,Love;Longing for Love,0,Rock,1978,1970,107.0
1978-06-17 00:00:00+00:00,Andy Gibb,20,Shadow Dancing,276,Gm,Lust/Sex;Dancing,0,Funk/Soul,1978,1970,102.0
1978-08-05 00:00:00+00:00,The Rolling Stones,35,Miss You,225,Am,Lust/Sex,0,Rock,1978,1970,110.0
1978-08-12 00:00:00+00:00,Commodores,29,Three Times a Lady,217,Ab,Love,0,Funk/Soul,1978,1970,151.0
1978-08-26 00:00:00+00:00,Frankie Valli,44,Grease,206,Bb,Love,0,Electronic,1978,1970,110.0
1978-09-30 00:00:00+00:00,Exile,34,Kiss You All Over,296,C,Lust/Sex,0,Rock,1978,1970,103.0
1978-10-28 00:00:00+00:00,Nick Gilder,26,Hot Child in the City,215,E,Lust/Sex;Bad Behavior,0,Rock,1978,1970,111.0
1978-11-04 00:00:00+00:00,Anne Murray,33,You Needed Me,220,A,Love,0,Pop,1978,1970,62.0
1978-11-11 00:00:00+00:00,Donna Summer,29,MacArthur Park,235,Multiple Keys,Lost Love,0,Funk/Soul,1978,1970,131.0
1978-12-02 00:00:00+00:00,Barbra Streisand & Neil Diamond,36,You Don't Bring Me Flowers,195,C,Lost Love,0,Rock,1978,1970,67.0
1978-12-09 00:00:00+00:00,Chic,26,Le Freak,216,C,Dancing,0,Funk/Soul,1978,1970,120.0
1979-01-06 00:00:00+00:00,Bee Gees,32,Too Much Heaven,296,Db,Love,0,Funk/Soul,1979,1970,166.0
1979-02-10 00:00:00+00:00,Rod Stewart,34,Do Ya Think I'm Sexy?,326,Dm,Lust/Sex,1,Rock,1979,1970,112.0
1979-03-10 00:00:00+00:00,Gloria Gaynor,29,I Will Survive,198,C,Lost Love;Bad Relationships;Empowerment,0,Funk/Soul,1979,1970,117.0
1979-03-24 00:00:00+00:00,Bee Gees,32,Tragedy,303,Bm,Lost Love,0,Funk/Soul,1979,1970,118.0
1979-04-14 00:00:00+00:00,The Doobie Brothers,27,What a Fool Believes,224,Db,Lost Love,0,Electronic,1979,1970,121.0
1979-04-21 00:00:00+00:00,Amii Stewart,23,Knock On Wood,227,Ab,Lust/Sex,0,Electronic,1979,1970,139.0
1979-04-28 00:00:00+00:00,Blondie,33,Heart of Glass,229,E,Lost Love,1,Rock,1979,1970,115.0
1979-05-05 00:00:00+00:00,Peaches & Herb,36,Reunited,345,Db,Getting Back Together;Love;Lost Love,0,Funk/Soul,1979,1970,76.0
1979-06-02 00:00:00+00:00,Donna Summer,30,Hot Stuff,226,Gm,Lust/Sex,0,Electronic,1979,1970,121.0
1979-06-09 00:00:00+00:00,Bee Gees,32,Love You Inside Out,228,Bm,Lost Love;Lust/Sex,0,Funk/Soul,1979,1970,95.0
1979-06-30 00:00:00+00:00,Anita Ward,22,Ring My Bell,212,Fm,Lust/Sex,0,Funk/Soul,1979,1970,126.0
1979-07-14 00:00:00+00:00,Donna Summer,30,Bad Girls,295,Dm,Lust/Sex,0,Funk/Soul,1979,1970,121.0
1979-08-18 00:00:00+00:00,Chic,26,Good Times,224,Bm,Dancing;Partying;Better Times,0,Funk/Soul,1979,1970,111.0
1979-08-25 00:00:00+00:00,The Knack,27,My Sharona,239,Multiple Keys,Lust/Sex,0,Rock,1979,1970,148.0
1979-10-06 00:00:00+00:00,Robert John,33,Sad Eyes,213,C,Lost Love,0,Rock,1979,1970,72.0
1979-10-13 00:00:00+00:00,Michael Jackson,21,Don't Stop 'Til You Get Enough,365,B,Lust/Sex;Dancing,0,Electronic,1979,1970,119.0
1979-11-03 00:00:00+00:00,M,32,Pop Muzik,201,Db,Dancing;Partying,0,Electronic,1979,1970,111.0
1979-11-10 00:00:00+00:00,Eagles,31,Heartache Tonight,265,G,Lost Love,0,Rock,1979,1970,113.0
1979-11-17 00:00:00+00:00,Commodores,29,Still,224,Db,Love,0,Funk/Soul,1979,1970,125.0
1979-11-24 00:00:00+00:00,Barbra Streisand & Donna Summer,33,No More Tears (Enough is Enough),288,Dm,Lost Love,0,Electronic,1979,1970,135.0
1979-12-08 00:00:00+00:00,Styx,32,Babe,242,D,Lost Love,0,Rock,1979,1970,169.0
1979-12-22 00:00:00+00:00,Rupert Holmes,32,Escape (The Piña Colada Song),231,C,Bad Relationships;Longing for Love,0,Rock,1979,1970,141.0
1980-01-05 00:00:00+00:00,KC & the Sunshine Band,28,Please Don't Go,230,Db,Lost Love,0,Funk/Soul,1980,1980,96.0
1980-01-19 00:00:00+00:00,Michael Jackson,21,Rock With You,203,Db,Dancing;Lust/Sex,0,Funk/Soul,1980,1980,115.0
1980-02-16 00:00:00+00:00,Captain & Tennille,38,Do That to Me One More Time,251,C,Lust/Sex,0,Pop,1980,1980,90.0
1980-02-23 00:00:00+00:00,Queen,33,Crazy Little Thing Called Love,263,D,Love,0,Rock,1980,1980,77.0
1980-03-22 00:00:00+00:00,Pink Floyd,36,"Another Brick in the Wall, Pt. 2",198,Dm,Childhood;School,0,Rock,1980,1980,104.0
1980-04-19 00:00:00+00:00,Blondie,34,Call Me,212,Dm,Lust/Sex,0,Rock,1980,1980,143.0
1980-05-31 00:00:00+00:00,Lipps Inc.,24,Funkytown,239,C,Better Times;Utopia/Perfect Places,0,Electronic,1980,1980,122.0
1980-06-28 00:00:00+00:00,Paul McCartney,38,Coming Up,248,E,Love,0,Rock,1980,1980,137.0
1980-07-19 00:00:00+00:00,Billy Joel,31,It's Still Rock and Roll to Me,176,C,Getting Older,0,Rock,1980,1980,141.0
1980-08-02 00:00:00+00:00,Olivia Newton-John,31,Magic,269,D,Love,0,Pop,1980,1980,104.0
1980-08-30 00:00:00+00:00,Christopher Cross,29,Sailing,256,A,Surfing/Sailing,0,Rock,1980,1980,150.0
1980-09-06 00:00:00+00:00,Diana Ross,36,Upside Down,245,Multiple Keys,Lust/Sex;Lost Love;Bad Behavior,0,Electronic,1980,1980,108.0
1980-10-04 00:00:00+00:00,Queen,34,Another One Bites the Dust,215,Fm,Murder;Death,0,Rock,1980,1980,110.0
1980-10-25 00:00:00+00:00,Barbra Streisand,38,Woman in Love,231,Ebm,Longing for Love,0,Pop,1980,1980,170.0
1980-11-15 00:00:00+00:00,Kenny Rogers,42,Lady,231,Ebm,Love,0,Pop,1980,1980,137.0
1980-12-27 00:00:00+00:00,John Lennon,40,(Just Like) Starting Over,234,A,Love,0,Rock,1980,1980,99.0
1981-01-31 00:00:00+00:00,Blondie,35,The Tide is High,233,B,Longing for Love,0,Rock,1981,1980,97.0
1981-02-07 00:00:00+00:00,Kool & the Gang,30,Celebration,221,Ab,Partying,0,Funk/Soul,1981,1980,122.0
1981-02-21 00:00:00+00:00,Dolly Parton,35,9 to 5,162,Gb,Work;Job,0,Rock,1981,1980,105.0
1981-02-28 00:00:00+00:00,Eddie Rabbit,39,I Love a Rainy Night,191,C,Rain;Appreciation,0,Pop,1981,1980,131.0
1981-03-21 00:00:00+00:00,REO Speedwagon,29,Keep on Loving You,200,C,Love,0,Rock,1981,1980,175.0
1981-03-28 00:00:00+00:00,Blondie,35,Rapture,391,Em,Partying,0,Electronic,1981,1980,108.0
1981-04-11 00:00:00+00:00,Daryl Hall & John Oates,33,Kiss On My List,232,C,Love;Longing for Love;Lust/Sex,0,Rock,1981,1980,121.0
1981-05-02 00:00:00+00:00,Sheena Easton,22,Morning Train (Nine to Five),300,Ab,Love,0,Electronic,1981,1980,122.0
1981-05-16 00:00:00+00:00,Kim Carnes,35,Bette Davis Eyes,328,F,Lust/Sex,0,Electronic,1981,1980,117.0
1981-07-25 00:00:00+00:00,Air Supply,32,The One That You Love,259,F,Lost Love,0,Rock,1981,1980,110.0
1981-08-01 00:00:00+00:00,Rick Springfield,31,Jessie's Girl,194,D,Longing for Love;Lust/Sex,0,Rock,1981,1980,132.0
1981-08-15 00:00:00+00:00,Diana Ross & Lionel Richie,34,Endless Love,266,Bb,Love,0,Funk/Soul,1981,1980,94.0
1981-10-17 00:00:00+00:00,Christopher Cross,30,Arthur's Theme (The Best That You Can Do),236,A,Love,0,Rock,1981,1980,137.0
1981-11-07 00:00:00+00:00,Daryl Hall & John Oates,34,Private Eyes,217,Am,Lost Love,0,Rock,1981,1980,121.0
1981-11-21 00:00:00+00:00,Olivia Newton-John,33,Physical,225,Em,Lust/Sex,1,Rock,1981,1980,124.0
1982-01-30 00:00:00+00:00,Daryl Hall & John Oates,34,I Can't Go For That (No Can Do),225,Multiple Keys,Bad Relationships,0,Electronic,1982,1980,111.0
1982-02-06 00:00:00+00:00,The J. Geils Band,35,Centerfold,216,C,Lust/Sex,0,Rock,1982,1980,114.0
1982-03-20 00:00:00+00:00,Joan Jett & the Blackhearts,23,I Love Rock 'n' Roll,175,Em,Playing Music;Lust/Sex,0,Rock,1982,1980,94.0
1982-05-15 00:00:00+00:00,Paul McCartney & Stevie Wonder,35,Ebony & Ivory,220,E,Coexistence;Appreciation,0,Rock,1982,1980,81.0
1982-07-03 00:00:00+00:00,The Human League,26,Don't You Want Me,236,C,Lost Love,0,Electronic,1982,1980,118.0
1982-07-24 00:00:00+00:00,Survivor,29,Eye of the Tiger,227,Cm,Survival;Badassery,0,Rock,1982,1980,109.0
